Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Jan Markus;Hoffmann;M;2012-09-01;0000-00-00;Murksi;küla;Harjumaa
Maik;Orlov;M;1936-07-15;1965-11-13;;;
Sylvia;Makarov;N;1961-08-27;1968-11-14;;;
Lembit;Kasak;M;2011-05-21;0000-00-00;Varpe;küla;Saaremaa
Lisandra;Miller;N;1937-05-03;0000-00-00;Laane;küla;Tartumaa
Peeter;Gromov;M;1913-01-24;1947-09-13;;;
Kaili;Kink;N;1993-10-01;0000-00-00;Veeriku;küla;Saaremaa
Toomas;Mitt;M;1969-02-19;1994-08-01;;;
Janis;Popov;M;1932-02-02;0000-00-00;Tõre;küla;Saaremaa
Leon;Kont;M;1922-01-30;1999-11-03;;;
Edith;Matvejev;N;1969-06-30;0000-00-00;Pärsama;küla;Saaremaa
Ain;Semenov;M;1917-02-01;0000-00-00;Sulu;küla;Tartumaa
Saara;Malõšev;N;1980-06-28;2013-01-14;;;
Karoliina;Kulikov;N;1901-02-23;0000-00-00;Ürjaste;küla;Harjumaa
Inna;Kohv;N;1949-10-09;1954-09-18;;;
Sonja;Allik;N;1914-02-07;0000-00-00;Võntküla;küla;Läänemaa
Brandon;Gontšarov;M;1998-06-14;2017-04-21;;;
Karl Marten;Drozdov;M;2001-07-21;2005-04-11;;;
Avely;Trei;N;1942-04-12;1982-11-26;;;
Avely;Tuisk;N;1914-05-10;1932-04-26;;;
Kalvi;Kirs;M;1979-10-02;1980-01-07;;;
Mihkel;Kivimäe;M;1934-05-11;1999-07-21;;;
Rodion;Pulk;M;2007-10-10;0000-00-00;Huuksi;küla;Järvamaa
Mattias;Leht;M;1934-10-04;1999-10-04;;;
Keiri;Pulk;N;1990-07-15;0000-00-00;Pedaspea;küla;Harjumaa
Marelle;Markus;N;1946-01-01;0000-00-00;Koigu;küla;Valgamaa
Tobias;Kala;M;1970-11-20;0000-00-00;Sõrandu;küla;Järvamaa
Kristen;Sergejev;M;1978-04-29;1994-06-17;;;
Rebekka;Tsvetkov;N;1964-10-13;0000-00-00;Sookaera-Metsanurga;küla;Harjumaa
Tamara;Kazakov;N;1957-01-25;2015-04-20;;;
Holger;Mercklin;M;1948-01-28;0000-00-00;Tagamõisa;küla;Viljandimaa
Sylvia;Sirel;N;1946-04-04;2018-04-22;;;
Janet;Kikas;N;1969-09-15;0000-00-00;Alekere;küla;Ida-Virumaa
Deivi;Egorov;N;1959-11-08;0000-00-00;Vasavere;küla;Ida-Virumaa
Enn;Allik;M;1980-01-01;2019-02-02;;;
Siiri;Kaljurand;N;1961-04-05;0000-00-00;Aaspere;küla;Lääne-Virumaa
Irina;Lipp;N;1932-02-04;0000-00-00;Kangavitsa;küla;Võrumaa
Roger;Varik;M;1908-10-15;1994-01-01;;;
Eleonora;Suvorov;N;1906-11-14;0000-00-00;Kargaja;küla;Tartumaa
Jüri;Susi;M;1995-09-26;2019-11-30;;;
Romet;Kuznetsov;M;1978-05-21;1985-09-03;;;
Inna;Luts;N;1973-11-30;1986-05-24;;;
Cätlin;Solovjov;N;1982-03-15;1984-07-10;;;
Keitlin;Kikas;N;1941-01-28;2003-09-11;;;
Cärolin;Michelson;N;2002-03-31;2019-10-28;;;
Ranno;Rumjantsev;M;1972-06-24;1981-04-06;;;
Alesja;Tuulik;N;1908-08-12;1929-07-11;;;
Arvi;Kaasik;M;1991-01-22;1998-06-22;;;
Viktorija;Komarov;N;1979-06-26;0000-00-00;Puka;küla;Saaremaa
Rainis;Karro;M;1917-08-09;0000-00-00;Kõnnu;küla;Põlvamaa
Anti;Popov;M;2009-03-02;2012-07-19;;;
Joonas;Kivimäe;M;1955-01-03;1961-08-26;;;
Elerin;Filippov;N;1994-08-26;0000-00-00;Jõusa;küla;Tartumaa
Loore;Filatov;N;1975-03-03;2019-03-06;;;
Arthur;Soots;M;1958-02-11;0000-00-00;Auvere;küla;Ida-Virumaa
Veroonika;Ader;N;1988-08-15;0000-00-00;Tuuliku;küla;Pärnumaa
Maksim;Tuulik;M;1993-09-26;0000-00-00;Kiuma;küla;Põlvamaa
Gregor;Kirsipuu;M;1923-09-28;0000-00-00;Vila;küla;Lääne-Virumaa
Artur;Kalinin;M;1924-06-22;0000-00-00;Manni;küla;Raplamaa
Kreete;Kolberg;N;1938-10-17;0000-00-00;Koppelmaa;küla;Harjumaa
Gretel;Põdra;N;2012-02-26;2019-03-19;;;
Kaidar;Kadak;M;1928-04-13;0000-00-00;Kadaka;küla;Pärnumaa
Kristopher;Mann;M;2000-08-28;0000-00-00;Vanaküla;küla;Läänemaa
Raimo;Kull;M;1958-09-04;0000-00-00;Kõpsta;küla;Lääne-Virumaa
Lisandra;Fedotov;N;1944-11-22;0000-00-00;Tõrenurme;küla;Jõgevamaa
Gea;Hansen;N;1902-11-14;1917-02-04;;;
Helina;Toome;N;1983-07-01;0000-00-00;Randivälja;küla;Pärnumaa
Ruslan;Puusepp;M;2012-07-12;2015-04-25;;;
Johan;Trofimov;M;1930-02-13;0000-00-00;Pillardi;küla;Võrumaa
Eric;Semenov;M;2014-08-18;2016-06-01;;;
Armo;Merisaar;M;1957-10-19;1960-04-27;;;
Ljubov;Sokolov;N;1949-12-31;0000-00-00;Leevijõe;küla;Põlvamaa
Cätlin;Piho;N;1979-10-03;0000-00-00;Ahja;alevik;Põlvamaa
Vjatšeslav;Õispuu;M;1979-03-22;1993-09-11;;;
Jüri;Taal;M;1992-11-29;0000-00-00;Viitasoo;küla;Hiiumaa
Betti;Alekseev;N;2001-01-04;2010-04-16;;;
Jana;Härm;N;1977-07-08;2010-01-15;;;
Liina;Grigorieva;N;2004-04-16;0000-00-00;Palade;küla;Hiiumaa
Uljana;Solovjov;N;1904-12-29;0000-00-00;Väike-Kõpu;küla;Viljandimaa
Alexey;Kelder;M;1981-02-14;1997-05-22;;;
Hedvig;Ignatjev;N;1977-03-03;0000-00-00;Kungla;küla;Saaremaa
Yury;Luik;M;1904-06-28;0000-00-00;Pajaka;küla;Raplamaa
Johannes;Lomp;M;1940-08-28;0000-00-00;Verioramõisa;küla;Põlvamaa
Tõnis;Trofimov;M;1979-09-11;0000-00-00;Hilana;küla;Võrumaa
Marielle;Makarov;N;1975-05-12;0000-00-00;Roostoja;küla;Ida-Virumaa
Marika;Frolov;N;2008-12-16;0000-00-00;Mannare;küla;Pärnumaa
Stefani;Andreev;N;1950-02-09;1966-10-19;;;
Alondra;Püvi;N;1936-11-07;0000-00-00;Lepplaane;küla;Pärnumaa
Marion;Viks;N;1927-06-05;0000-00-00;Mustla;küla;Pärnumaa
Stiina;Salu;N;1937-09-22;1988-05-24;;;
Cärolin;Luik;N;1941-09-14;0000-00-00;Jõgisoo;küla;Harjumaa
Aleksander;Õunapuu;M;1904-03-27;1989-12-25;;;
Timofei;Aasmäe;M;1913-03-27;0000-00-00;Ertsma;küla;Pärnumaa
Lauri;Danilov;M;1917-03-19;0000-00-00;Saarjärve;küla;Jõgevamaa
Aleks;Puusepp;M;2016-03-10;2018-01-27;;;
Pille-Riin;Aakre;N;1997-12-29;2001-03-20;;;
Älis;Laht;N;2014-01-01;0000-00-00;Oeti;küla;Järvamaa
Anne;Kalm;N;1911-04-05;0000-00-00;Raavitsa;küla;Valgamaa
Anti;Käärik;M;1923-01-28;2006-09-18;;;
Helery;Vlassov;N;2003-05-26;0000-00-00;Norrby;küla;Läänemaa
Lii;Beljajev;N;1986-08-23;2004-12-01;;;
Triinu;Gross;N;1993-05-28;2013-07-03;;;
Kerli;Alas;N;1922-06-07;1971-09-14;;;
Villem;Žukov;M;1988-10-02;2003-04-27;;;
Susanna;Kuusk;N;1999-09-24;2014-06-13;;;
Liana;Powell;N;1996-11-05;2014-05-01;;;
Elina;Mürk;N;1913-07-26;1940-04-10;;;
Rebeka;Vähi;N;1962-09-13;1963-05-31;;;
Maris;Anissimov;N;1944-01-13;0000-00-00;Mustla;küla;Pärnumaa
Liis;Kodres;N;1954-08-26;2007-03-05;;;
Anne-Liis;Kikkas;N;1991-08-28;0000-00-00;Allika;küla;Harjumaa
Deily;Sibul;N;1951-02-04;1999-07-23;;;
Eerik;Lember;M;1904-04-05;0000-00-00;Vandu;küla;Lääne-Virumaa
Tatjana;Jõesaar;N;1999-12-28;0000-00-00;Triigi;küla;Saaremaa
Enely;Kalamees;N;2011-06-16;0000-00-00;Rammuka;küla;Võrumaa
Tenno;Filatov;M;1972-12-13;0000-00-00;Karida;küla;Saaremaa
Kenert;Alekseev;M;1991-07-25;0000-00-00;Raeküla;küla;Lääne-Virumaa
Hannah;Gross;N;1927-01-29;0000-00-00;Rahkama;küla;Pärnumaa
Dariya;Sepp;N;1956-10-26;0000-00-00;Koigi;küla;Järvamaa
Jane;Koppel;N;2002-04-14;0000-00-00;Kiisli;küla;Jõgevamaa
Marcos;Kalinin;M;2011-07-06;2012-02-08;;;
Tambet;Urb;M;1961-11-05;0000-00-00;Männikuste;küla;Pärnumaa
Reigo;Sarv;M;2014-01-16;0000-00-00;Rääka;küla;Viljandimaa
Silver;Unt;M;1929-12-03;0000-00-00;Vaikla;küla;Ida-Virumaa
Juri;Laks;M;2017-03-25;2019-08-30;;;
Alexandre;Kivilo;M;2015-03-20;0000-00-00;Tammistu;küla;Tartumaa
Milana;Lomp;N;1959-01-09;1997-05-19;;;
Marlon;Ignatjev;M;1972-12-18;1992-01-24;;;
Hanna-Maria;Mann;N;1950-04-24;1951-12-12;;;
Sigmar;Mürk;M;1934-08-24;0000-00-00;Tõhelgi;küla;Harjumaa
Kristella;Kivi;N;2013-04-27;0000-00-00;Lihulõpe;küla;Lääne-Virumaa
Ago;Ignatjev;M;1929-07-28;0000-00-00;Ahaste;küla;Pärnumaa
Kätlin;Reinsalu;N;2012-09-16;2014-04-18;;;
Simone;Leht;N;1966-04-04;0000-00-00;Nõmmküla;küla;Lääne-Virumaa
Karl-Gustav;Kütt;M;1920-03-05;0000-00-00;Kotsma;küla;Saaremaa
Teili;Lunin;N;1932-07-12;1955-08-25;;;
Ketrin;Tamme;N;1927-02-17;0000-00-00;Pupli;küla;Võrumaa
Karl;Kass;M;1932-12-29;0000-00-00;Kaleste;küla;Hiiumaa
Tarvi;Tuisk;M;1975-11-27;0000-00-00;Keava;alevik;Raplamaa
Eva-Lotta;Danilov;N;1921-02-26;0000-00-00;Tuulova;küla;Võrumaa
Darja;Suits;N;1998-04-19;2004-10-11;;;
Artem;Sarv;M;1930-06-16;0000-00-00;Palamuse;alevik;Jõgevamaa
Daniella;Pukk;N;1953-02-26;0000-00-00;Leistu;küla;Harjumaa
Jessica;Karpov;N;1994-10-10;0000-00-00;Lammasküla;küla;Lääne-Virumaa
Daria;Jarvis;N;1909-12-20;0000-00-00;Raadama;küla;Põlvamaa
Maik;Aasmäe;M;1901-07-09;1979-12-01;;;
Miina;Štšerbakov;N;1900-02-28;1996-10-28;;;
Sten-Markus;Jakobson;M;1975-12-13;0000-00-00;Varese;küla;Võrumaa
Anett;Pent;N;1914-02-08;0000-00-00;Vaela;küla;Harjumaa
Hendrik;Visnapuu;M;1948-04-24;0000-00-00;Kõmmaste;küla;Harjumaa
Stenver;Kikas;M;1941-09-10;0000-00-00;Meleski;küla;Viljandimaa
Gregori;Saks;M;1922-11-14;1926-07-30;;;
Egert;Tiik;M;1972-12-06;0000-00-00;Vendise;küla;Saaremaa
Leonard;Trofimov;M;1953-11-28;1995-09-18;;;
Kaidi;Bogdanov;N;1988-08-09;0000-00-00;Lohusalu;küla;Harjumaa
Romek;Holm;M;1992-09-07;1993-12-15;;;
Miikael;Viik;M;1942-12-30;2006-05-01;;;
Karl Mihkel;Mädamürk;M;1927-10-05;0000-00-00;Tamsalu;linn;Lääne-Virumaa
Varvara;Raag;N;1937-10-14;0000-00-00;Tarbja;küla;Järvamaa
Hanna;Tiik;N;1995-03-05;1999-03-17;;;
Karl-Eerik;Renoir;M;1948-06-07;0000-00-00;Kärgula;küla;Võrumaa
Jako;Trei;M;2010-02-11;0000-00-00;Riidamäe;küla;Harjumaa
Marje;Marksoo;N;1989-11-11;0000-00-00;Sookatse;küla;Pärnumaa
Renee;Tomson;M;1913-01-03;0000-00-00;Kõveri;küla;Pärnumaa
Andrei;Kroon;M;1931-12-25;1986-06-07;;;
Danila;Hõbe;M;1922-01-03;1982-10-03;;;
Jaanus;Randmaa;M;2006-06-27;0000-00-00;Mõõnaste;küla;Viljandimaa
Mirtel;Müür;N;1918-02-09;0000-00-00;Ruusa;küla;Põlvamaa
Semjon;Smirnov;M;1964-01-03;1977-02-19;;;
Egon;Kruglov;M;1922-05-16;1934-11-29;;;
Keidi;Kruus;N;1992-03-01;0000-00-00;Unametsa;küla;Viljandimaa
Harri;Melnik;M;1944-01-24;0000-00-00;Valgu;küla;Raplamaa
Vivian;Raag;N;2013-08-09;2017-02-11;;;
Killu;Tammet;N;1925-06-19;1993-03-08;;;
Mati;Renoir;M;1942-06-10;1999-11-06;;;
Victoria;Heinsoo;N;2008-09-16;0000-00-00;Miiaste;küla;Põlvamaa
Natalja;Laan;N;1985-06-19;2011-05-31;;;
Martin;Štšerbakov;M;1995-07-31;2016-02-19;;;
Raimond;Oja;M;1941-10-22;2018-01-25;;;
Birgit;Sikk;N;1915-08-13;0000-00-00;Lõve;küla;Valgamaa
Elo;Uibo;N;1917-07-23;0000-00-00;Villa;küla;Võrumaa
Agne;Suvi;N;2006-08-18;2007-07-23;;;
Daisi;Smirnov;N;1918-01-04;0000-00-00;Lepassaare;küla;Põlvamaa
Svjatoslav;Suvorov;M;1960-02-09;0000-00-00;Soo-otsa;küla;Läänemaa
Aliise;Kaljula;N;1908-01-13;0000-00-00;Kalda;küla;Pärnumaa
Emilie;Soots;N;1940-10-16;0000-00-00;Veeriku;küla;Saaremaa
Urmo;Petrov;M;1936-06-17;2008-04-28;;;
Inga;Jürisson;N;2018-09-21;2019-11-14;;;
Elisa;Hoffmann;N;2004-03-16;0000-00-00;Kõveri;küla;Pärnumaa
Triinu;Kasak;N;1988-10-26;0000-00-00;Metsakivi;küla;Tartumaa
Heleriin;Treial;N;2005-09-20;2017-07-27;;;
Virgo;Kudrjavtsev;M;1979-12-20;2016-01-14;;;
Karl Kristjan;Paap;M;1976-01-10;0000-00-00;Villevere;küla;Järvamaa
Jürgen;Karro;M;1934-08-07;1990-02-15;;;
Ave;Vares;N;1969-11-30;0000-00-00;Liikva;küla;Harjumaa
Christofer;Lember;M;1962-02-10;0000-00-00;Viki;küla;Saaremaa
Ellen;Kärner;N;1963-06-28;1979-03-02;;;
Morten;Hansen;M;1927-09-14;0000-00-00;Parasmaa;küla;Pärnumaa
Rebeka;Konstantinov;N;1992-10-29;0000-00-00;Pedajamäe;küla;Valgamaa
Enely;Tali;N;1932-02-28;0000-00-00;Vassevere;küla;Jõgevamaa
Milana;Kaljuvee;N;2015-05-20;0000-00-00;Kriiva;küla;Võrumaa
Airika;Abel;N;2013-07-12;2019-01-11;;;
Arnold;Pikk;M;1964-04-24;2008-02-14;;;
Jelizaveta;Kuus;N;2001-12-06;0000-00-00;Kursi;küla;Jõgevamaa
Grigori;Miller;M;1985-10-20;0000-00-00;Pidula;küla;Saaremaa
Ivar;Abderhalden;M;1905-03-20;1928-02-09;;;
Gerli;Nikiforov;N;1948-12-01;0000-00-00;Kurista;küla;Tartumaa
Karen;Järve;N;1928-02-04;2000-07-23;;;
Mario;Muru;M;2010-04-21;2011-05-12;;;
Paul;Unt;M;1941-03-03;0000-00-00;Pilkuse;küla;Valgamaa
Markko;Makarov;M;1911-03-28;0000-00-00;Kureküla;alevik;Tartumaa
Raneli;Erik;N;1961-12-25;2008-12-03;;;
Bogdan;Lukin;M;1944-09-02;1999-11-16;;;
Heidy;Liiva;N;1988-01-23;2002-04-19;;;
Sergei;Moroz;M;1998-07-19;2016-02-02;;;
Renate;Post;N;1933-03-05;1994-04-18;;;
Greete;Kütt;N;2008-04-25;2017-07-28;;;
Jaana;Loorits;N;1998-07-01;0000-00-00;Kriiva;küla;Võrumaa
Juri;Afanasjev;M;1969-03-03;0000-00-00;Puhkova;küla;Ida-Virumaa
Jüri;Kikkas;M;1950-12-03;0000-00-00;Mõisamaa;küla;Ida-Virumaa
Oksana;Kaur;N;1978-07-18;0000-00-00;Karu;küla;Valgamaa
Markus;Palm;M;1991-02-03;0000-00-00;Hinsa;küla;Võrumaa
Karli;Olesk;M;1970-09-26;2015-06-08;;;
Karl Johan;Trei;M;1938-12-28;0000-00-00;Kütke;küla;Harjumaa
Marily;Pukk;N;1902-12-28;1949-02-22;;;
Aleksandra;Maack;N;1943-06-05;1950-04-28;;;
Tomi;Sarapuu;M;1902-07-26;0000-00-00;Kõlunõmme;küla;Hiiumaa
Triin;Ivanov;N;1929-02-28;0000-00-00;Paaburissa;küla;Võrumaa
Gabriel;Rosenberg;M;1941-04-23;1943-09-25;;;
Andris;Stepanov;M;1915-01-06;1930-06-25;;;
Herman;Lehtmets;M;1906-11-25;0000-00-00;Võhma;küla;Läänemaa
Aksel;Kant;M;2002-10-16;2005-04-20;;;
Karl-Erik;Alas;M;1943-03-06;0000-00-00;Vastja;küla;Raplamaa
Saamuel;Pärna;M;1966-06-25;1971-02-19;;;
Jaroslav;Varik;M;2013-03-09;0000-00-00;Läpi;küla;Lääne-Virumaa
Adelina;Lukk;N;1971-01-03;0000-00-00;Tallikeste;küla;Võrumaa
Olev;Lõhmus;M;1942-08-21;1972-06-02;;;
Kelvin;Pulk;M;1966-09-04;1996-12-29;;;
Ron;Martinson;M;1900-05-29;2008-01-29;;;
Elerin;Talts;N;1991-08-04;0000-00-00;Turja;küla;Saaremaa
Eliisabet;Liivak;N;1993-01-28;2004-02-22;;;
Kalmer;Ojala;M;1945-08-03;2011-01-12;;;
Yulia;Tilk;N;2006-06-26;2011-01-04;;;
Helle;Rebane;N;1909-09-09;0000-00-00;Nõmmküla;küla;Saaremaa
Felix;Tsvetkov;M;1919-01-22;1950-09-04;;;
Vitali;Reinke;M;1965-12-06;2002-01-28;;;
Jasper;Kiil;M;1986-03-26;0000-00-00;Velise-Nõlva;küla;Raplamaa
Jaana;Saar;N;1992-07-05;0000-00-00;Käärdi;alevik;Tartumaa
Keio;Leis;M;1993-05-02;2004-09-22;;;
Elisabet;Nõmm;N;1989-04-16;2005-06-21;;;
Raido;Treier;M;2015-12-18;2017-12-29;;;
Renate;Link;N;2000-01-22;2009-08-06;;;
Pille-Riin;Jaanus;N;1960-08-17;0000-00-00;Villa;küla;Viljandimaa
Nataly;Kont;N;1995-05-31;2018-05-09;;;
Helle;Bondarenko;N;1918-04-28;1929-11-06;;;
Kaire;Vaher;N;1955-06-08;2001-01-28;;;
Mihhail;Silm;M;2001-06-05;2011-07-20;;;
Riho;Raudsepp;M;1951-12-16;0000-00-00;Tehumardi;küla;Saaremaa
Gertrud;Gontšarov;N;1949-01-13;2016-10-23;;;
Thomas;Tiits;M;1955-03-06;0000-00-00;Soosalu;küla;Pärnumaa
Anet;Solovjov;N;1986-06-22;0000-00-00;Melso;küla;Võrumaa
Artyom;Nikolaev;M;1947-03-06;2001-09-13;;;
Marija;Mürk;N;1913-04-03;1971-07-22;;;
Maarja-Liisa;Mets;N;1999-07-08;2007-06-16;;;
Sandra;Luht;N;2010-02-06;2012-02-28;;;
Nele;Soosalu;N;1925-06-01;1973-05-16;;;
Cristina;Gontšarov;N;1992-11-04;2000-03-21;;;
Heikki;Rätsep;M;1930-05-20;2007-12-04;;;
Elen;Nõmme;N;1929-10-25;2011-10-18;;;
Elvira;Abderhalden;N;1988-11-08;0000-00-00;Võhmuta;küla;Lääne-Virumaa
Enely;Unt;N;1973-09-14;2011-07-02;;;
Erko;Kass;M;2016-02-24;0000-00-00;Mädara;küla;Pärnumaa
Eva-Maria;Püvi;N;1981-03-27;0000-00-00;Kamara;küla;Viljandimaa
Ksenja;Leis;N;1903-06-14;1928-03-07;;;
Ruth;Vahtra;N;1925-09-11;0000-00-00;Säre;küla;Võrumaa
Janeli;Sobolev;N;1992-11-07;0000-00-00;Aburi;küla;Lääne-Virumaa
Aleks;Kasemaa;M;1965-09-01;1973-10-23;;;
Ilona;Ernits;N;2013-08-17;0000-00-00;Kastna;küla;Pärnumaa
Mariana;Kudrjavtsev;N;1943-12-19;0000-00-00;Kostivere;alevik;Harjumaa
Viktoriya;Võsu;N;1931-12-07;1991-04-24;;;
Riin;Post;N;1947-07-05;2016-05-26;;;
Andra;Mihhailov;N;1992-07-01;2007-08-16;;;
Minna;Kala;N;1952-09-10;0000-00-00;Aiamaa;küla;Tartumaa
Renee;Suur;M;1965-06-13;1995-07-09;;;
Ruben;Lember;M;1988-02-07;1999-01-15;;;
Ronan;Rosin;M;1930-04-18;2017-02-04;;;
Rünno;Kuningas;M;1908-09-20;1931-11-21;;;
Inna;Varik;N;2013-04-01;0000-00-00;Kangru;küla;Pärnumaa
Ailen;Kangur;N;2009-04-19;0000-00-00;Kastli;küla;Tartumaa
Anastasija;Ivask;N;1904-11-10;2006-05-03;;;
Dana;Klavan;N;1944-03-30;1960-06-26;;;
Arlet;Meier;M;1932-07-11;2018-07-01;;;
Aile;Trofimov;N;1954-02-11;1970-09-27;;;
Liisu;Schmidt;N;1983-02-11;0000-00-00;Tammevaldma;küla;Tartumaa
Veera;Sild;N;2018-04-19;2019-01-14;;;
Aliise;Gontšarov;N;1913-01-30;1948-05-27;;;
Martti;Kirillov;M;1942-03-29;0000-00-00;Jalalõpe;küla;Järvamaa
Urmo;Jalakas;M;1977-05-17;2015-09-26;;;
Viktor;Tuulik;M;2017-03-18;0000-00-00;Lõo;küla;Läänemaa
Maribel;Käär;N;1992-05-24;2004-03-05;;;
Helen;Ojala;N;1973-10-15;1985-12-17;;;
Oliver;Danilov;M;2012-02-12;0000-00-00;Nuutre;küla;Viljandimaa
Kirsika;Klavan;N;1942-06-19;0000-00-00;Võuküla;küla;Põlvamaa
Anna Maria;Sillaste;N;1913-10-09;1944-10-15;;;
Ilja;Uibo;M;2012-07-18;0000-00-00;Soodi;küla;Võrumaa
Viktoria;Novikov;N;1934-09-01;1984-06-03;;;
Ksenija;Powell;N;1991-08-29;2015-03-16;;;
Sofia;Fomin;N;1921-01-01;1972-01-16;;;
Stella;Frolov;N;2007-10-30;2015-01-01;;;
Tauno;Järv;M;1949-07-04;0000-00-00;Karja;küla;Saaremaa
Ants;Niit;M;1977-05-22;0000-00-00;Tuimõisa;küla;Jõgevamaa
Ljudmila;Kõiv;N;2018-02-10;2019-03-24;;;
Aigar;Kolk;M;1968-11-04;0000-00-00;Lante;küla;Lääne-Virumaa
Hannah;Kuus;N;1938-09-13;0000-00-00;Kaku;küla;Võrumaa
Kaarel;Friedman;M;2011-01-25;0000-00-00;Laheküla;küla;Saaremaa
Mark;Voronin;M;1945-08-29;0000-00-00;Tammneeme;küla;Harjumaa
Matthias;Heinsalu;M;1903-01-08;1908-08-15;;;
Saskia;Frolov;N;1920-12-03;0000-00-00;Linaleo;küla;Tartumaa
Sigrit;Raamat;N;2000-10-20;2018-12-09;;;
Toivo;Danilov;M;1955-11-28;1990-06-12;;;
Antti;Kangur;M;1967-12-13;1978-12-16;;;
Heili;Sillaots;N;1949-04-04;1982-05-11;;;
Kaisa;Jaakson;N;1946-11-07;0000-00-00;Järiste;küla;Tartumaa
Ronan;Kass;M;1980-09-12;0000-00-00;Tade;küla;Harjumaa
Olari;Vares;M;1997-06-25;2016-11-10;;;
Ain;Vahter;M;1976-12-12;0000-00-00;Kirumpää;küla;Võrumaa
Viktor;Tooming;M;1908-12-09;2016-11-01;;;
Gregory;Iljin;M;1935-12-23;1978-05-22;;;
Cathy;Davõdov;N;2007-10-23;2008-11-27;;;
Ave-Marleen;Denissov;N;1955-07-15;1984-10-05;;;
Andrea;Luiga;N;1998-06-14;2009-12-29;;;
Rainar;Kulikov;M;1930-03-29;0000-00-00;Lümatu;küla;Võrumaa
Anita;Ojaste;N;1958-07-20;2006-09-26;;;
Alexandra;Kalinin;N;1939-08-10;0000-00-00;Aravu;küla;Tartumaa
Mariete;Sirel;N;1913-07-09;0000-00-00;Venevere;küla;Lääne-Virumaa
Lev;Renoir;M;1931-01-17;2009-03-27;;;
Aire;Liivak;N;1950-10-06;1969-05-03;;;
Melani;Põld;N;1993-11-21;0000-00-00;Lautna;küla;Läänemaa
Gendra;Panov;N;1901-05-15;0000-00-00;Salajõe;küla;Läänemaa
Cathy;Denissov;N;1996-01-22;2004-12-04;;;
Brit;Lind;N;2007-02-19;0000-00-00;Tartu;Linn;Tartumaa
Karl Oskar;Säde;M;1985-04-27;2003-01-06;;;
Allan;Juhkam;M;2008-07-25;2019-01-05;;;
Markkus;Jefimov;M;1948-05-27;1971-07-25;;;
Chris;Lill;M;2018-02-13;2019-06-15;;;
Romet;Teesalu;M;1932-02-07;1967-06-02;;;
Mariin;Egorov;N;1906-01-26;0000-00-00;Keskküla;küla;Läänemaa
Daisi;Volkov;N;1921-11-14;0000-00-00;Ravila;alevik;Harjumaa
Maxim;Hunt;M;1988-11-13;2016-12-01;;;
Rainar;Kuuse;M;1963-02-09;0000-00-00;Kogri;küla;Hiiumaa
Lidia;Järv;N;1973-03-03;0000-00-00;Kändliku;küla;Raplamaa
Heikki;Kozlov;M;2018-05-19;2019-09-20;;;
Evgeniya;Zaitsev;N;1998-04-19;0000-00-00;Oro;küla;Põlvamaa
Geir;Liiva;M;1925-11-18;2006-12-27;;;
Nadezhda;Mihhailov;N;1902-03-02;0000-00-00;Lõuka;küla;Pärnumaa
Janeli;Ivanov;N;1951-08-10;0000-00-00;Ubja;küla;Lääne-Virumaa
Leonid;Paap;M;1970-06-08;0000-00-00;Kundruse;küla;Põlvamaa
Helene;Kalamees;N;1954-01-22;1983-11-08;;;
Kati;Sirel;N;1919-10-21;1934-01-31;;;
Helin;Suvorov;N;1984-08-10;0000-00-00;Lepiku;küla;Hiiumaa
Keidi;Moor;N;1950-01-06;1991-12-30;;;
Gerdi;Jakobson;N;2005-05-04;2009-02-21;;;
Kristiina;Sirel;N;1992-12-10;2017-08-18;;;
Patrick;Luik;M;1962-02-22;1993-02-05;;;
Kai;Treial;N;1979-05-23;0000-00-00;Vilkla;küla;Läänemaa
Alo;Kondratjev;M;1992-12-20;0000-00-00;Esna;küla;Järvamaa
Minna;Jalakas;N;1929-04-05;0000-00-00;Kamnitsa;küla;Põlvamaa
Krete;Heinsalu;N;2010-10-07;2015-05-09;;;
Emili;Kokk;N;1942-03-17;0000-00-00;Tornimäe;küla;Saaremaa
Argo;Lass;M;2013-12-30;0000-00-00;Valgesoo;küla;Põlvamaa
Aivar;Raamat;M;1948-11-15;1954-08-24;;;
Helis;Mõttus;N;1948-10-31;2003-03-16;;;
Erko;Martin;M;1989-04-18;1998-08-16;;;
Krislin;Kivistik;N;2014-05-20;2019-06-12;;;
Meelika;Nikolaev;N;1954-04-15;1992-07-14;;;
Kaie;Koger;N;1927-08-05;1930-01-30;;;
Karolin;Egorov;N;1914-01-13;1960-06-03;;;
Kristian;Mägi;M;1998-03-03;0000-00-00;Viisuküla;küla;Viljandimaa
Alexandre;Aasmäe;M;1987-12-18;2016-02-09;;;
Liisbeth;Arula;N;2017-08-11;2018-10-28;;;
Terje;Kadak;N;2009-11-04;2010-08-06;;;
Helen;Poom;N;1991-08-16;0000-00-00;Moosi;küla;Saaremaa
Eleonora;Piir;N;1977-09-02;2010-02-02;;;
Rasmus;Aru;M;1925-04-24;1982-02-21;;;
Ingel;Tooming;N;1942-11-14;1968-03-26;;;
Sandro;Konstantinov;M;1957-10-01;2017-02-05;;;
Lisete;Kaasik;N;1918-03-01;1966-11-30;;;
Keith;Aun;M;1942-03-12;1956-03-16;;;
Voldemar;Käsper;M;1984-06-01;1992-08-18;;;
